ID,NAME,DESCRIPTION
1,Math,"Mathematical concepts and theories"
2,Science,"Scientific studies and research topics"
3,History,"Past events and historical periods"
4,Economics,"The study of Economics"
5,Physics,"Study of matter, energy, and the universe"
6,Chemistry,"Study of substances and their reactions"
7,Biology,"Life sciences and biological organisms"
8,Computer,"Information technology and computing"
9,Music,"Theory, practice, and appreciation of music"
10,Art,"Creative expression through visual arts"
